0,0,0,0
0.003,0,0.1,0
0.006,0,0.2,0
0.009,0,0.3,0
0.012,0,0.4,0
0.015,0,0.5,0
0.018,0,0.6,0
0.021,0,0.7,0
0.024,0,0.8,0
0.027,0,0.9,0
0.03,0,1,548729
0.033,0,1.1,1998
0.036,0,1.2,1739
0.039,0,1.3,2322
0.042,0,1.4,3095
0.045,0,1.5,4659
0.048,0,1.6,4516
0.051,0,1.7,4699
0.054,0,1.8,6042
0.057,0,1.9,7794
0.06,0,2,11448
0.063,0,2.1,14331
0.066,0,2.2,30463
0.069,0,2.3,63893
0.072,0,2.4,88803
0.075,0,2.5,167727
0.078,0,2.6,85462
0.081,0,2.7,22641
0.084,0,2.8,12331
0.087,0,2.9,7269
0.09,0,3,7388
0.093,0,3.1,7550
0.096,0,3.2,8775
0.099,0,3.3,12647
0.102,0,3.4,17060
0.105,0,3.5,21165
0.108,0,3.6,27815
0.111,0,3.7,36270
0.114,0,3.8,52715
0.117,0,3.9,62263
0.12,0,4,67498
0.123,0,4.1,54937
0.126,0,4.2,30736
0.129,0,4.3,17124
0.132,0,4.4,12880
0.135,0,4.5,11271
0.138,0,4.6,9861
0.141,0,4.7,9339
0.144,0,4.8,11090
0.147,0,4.9,12322
0.15,0,5,12957
0.153,0,5.1,14997
0.156,0,5.2,14895
0.159,0,5.3,14146
0.162,0,5.4,11400
0.165,0,5.5,7265
0.168,0,5.6,2964
0.171,0,5.7,484
0.174,0,5.8,137
0.177,0,5.9,0
0.18,0,6,0
0.183,0,6.1,0
0.186,0,6.2,0
0.189,0,6.3,0
0.192,0,6.4,0
0.195,0,6.5,0
0.198,0,6.6,0
0.201,0,6.7,0
0.204,0,6.8,0
0.207,0,6.9,0
0.21,0,7,0
0.213,0,7.1,0
0.216,0,7.2,0
0.219,0,7.3,0
0.222,0,7.4,0
0.225,0,7.5,0
0.228,0,7.6,0
0.231,0,7.7,0
0.234,0,7.8,0
0.237,0,7.9,0
0.24,0,8,0
0.243,0,8.1,0
0.246,0,8.2,0
0.249,0,8.3,0
0.252,0,8.4,0
0.255,0,8.5,0
0.258,0,8.6,0
0.261,0,8.7,0
0.264,0,8.8,0
0.267,0,8.9,0
0.27,0,9,0
0.273,0,9.1,0
0.276,0,9.2,0
0.279,0,9.3,0
0.282,0,9.4,0
0.285,0,9.5,0
0.288,0,9.6,0
0.291,0,9.7,0
0.294,0,9.8,0
0.297,0,9.9,0
0.3,0, , 
0.303,0, , 
0.306,0, , 
0.309,0, , 
0.312,0, , 
0.315,0, , 
0.318,0, , 
0.321,0, , 
0.324,0, , 
0.327,0, , 
0.33,0, , 
0.333,0, , 
0.336,0, , 
0.339,0, , 
0.342,0, , 
0.345,0, , 
0.348,0, , 
0.351,0, , 
0.354,0, , 
0.357,0, , 
0.36,0, , 
0.363,0, , 
0.366,0, , 
0.369,0, , 
0.372,0, , 
0.375,0, , 
0.378,0, , 
0.381,0, , 
0.384,0, , 
0.387,0, , 
0.39,0, , 
0.393,0, , 
0.396,0, , 
0.399,0, , 
0.402,0, , 
0.405,0, , 
0.408,0, , 
0.411,0, , 
0.414,0, , 
0.417,0, , 
0.42,0, , 
0.423,0, , 
0.426,0, , 
0.429,0, , 
0.432,0, , 
0.435,0, , 
0.438,0, , 
0.441,0, , 
0.444,0, , 
0.447,0, , 
0.45,0, , 
0.453,0, , 
0.456,0, , 
0.459,0, , 
0.462,0, , 
0.465,0, , 
0.468,0, , 
